STATION_NAME;TRANSECT;STATION_ID;SAMPLE_TIME;LATITUDE;LONGITUDE;SECCHI_DEPTH;ACOUSTIC_DEPTH;REPLICATE_DESC;TEMPERATURE;SALINITY;SAMPLE_DEPTH;CHL_A;TRICHODESMIUM
Hook Passage;Whitsundays;228;15/1/09 9:39;-20.21;148.905;;25;A1;29;38;25;0.61;Absent
Hook Passage;Whitsundays;228;15/1/09 9:39;-20.21;148.905;;25;A2;29;38;25;0.67;Absent
Hook Passage;Whitsundays;228;15/1/09 9:39;-20.21;148.905;;25;B1;29;38;25;0.64;Absent
Hook Passage;Whitsundays;228;15/1/09 9:39;-20.21;148.905;;25;B2;29;38;25;0.69;Absent
Line Reef;Whitsundays;229;15/1/09 9:39;-19.756;149.14;;64;A1;29.5;38;64;0.55;Absent
Line Reef;Whitsundays;229;15/1/09 9:39;-19.756;149.14;;64;A2;29.5;38;64;0.47;Absent
Line Reef;Whitsundays;229;15/1/09 9:39;-19.756;149.14;;64;B1;29.5;38;64;0.47;Absent
Line Reef;Whitsundays;229;15/1/09 9:39;-19.756;149.14;;64;B2;29.5;38;64;0.5;Absent
Dent Passage;Whitsundays;227;15/1/09 8:54;-20.336;148.939;;25;A1;29;38;25;0.49;Absent
Dent Passage;Whitsundays;227;15/1/09 8:54;-20.336;148.939;;25;A2;29;38;25;0.53;Absent
Dent Passage;Whitsundays;227;15/1/09 8:54;-20.336;148.939;;25;B1;29;38;25;0.51;Absent
Dent Passage;Whitsundays;227;15/1/09 8:54;-20.336;148.939;;25;B2;29;38;25;0.54;Absent
