STATION_NAME;TRANSECT;STATION_ID;SAMPLE_TIME;LATITUDE;LONGITUDE;SECCHI_DEPTH;ACOUSTIC_DEPTH;REPLICATE_DESC;TEMPERATURE;SALINITY;SAMPLE_DEPTH;CHL_A;TRICHODESMIUM
Line Reef;Whitsundays;229;19/11/08 10:30;-19.756;149.14;;64;A1;;37;64;0.21;Absent
Line Reef;Whitsundays;229;19/11/08 10:30;-19.756;149.14;;64;A2;;37;64;0.2;Absent
Line Reef;Whitsundays;229;19/11/08 10:30;-19.756;149.14;;64;B1;;37;64;0.21;Absent
Line Reef;Whitsundays;229;19/11/08 10:30;-19.756;149.14;;64;B2;;37;64;0.22;Absent
Hook Passage;Whitsundays;228;19/11/08 9:34;-20.21;148.905;;25;A1;;37;25;0.25;Absent
Hook Passage;Whitsundays;228;19/11/08 9:34;-20.21;148.905;;25;A2;;37;25;0.23;Absent
Hook Passage;Whitsundays;228;19/11/08 9:34;-20.21;148.905;;25;B1;;37;25;0.27;Absent
Hook Passage;Whitsundays;228;19/11/08 9:34;-20.21;148.905;;25;B2;;37;25;0.27;Absent
Dent Passage;Whitsundays;227;19/11/08 8:46;-20.336;148.939;;25;A1;;37;25;0.23;Absent
Dent Passage;Whitsundays;227;19/11/08 8:46;-20.336;148.939;;25;A2;;37;25;0.26;Absent
Dent Passage;Whitsundays;227;19/11/08 8:46;-20.336;148.939;;25;B1;;37;25;0.26;Absent
Dent Passage;Whitsundays;227;19/11/08 8:46;-20.336;148.939;;25;B2;;37;25;0.24;Absent
Line Reef;Whitsundays;229;28/10/08 10:30;-19.756;149.14;;25;A1;26;36;25;0.16;Absent
Line Reef;Whitsundays;229;28/10/08 10:30;-19.756;149.14;;25;A2;26;36;25;0.16;Absent
Line Reef;Whitsundays;229;28/10/08 10:30;-19.756;149.14;;25;B1;26;36;25;0.14;Absent
Line Reef;Whitsundays;229;28/10/08 10:30;-19.756;149.14;;25;B2;26;36;25;0.14;Absent
Hook Passage;Whitsundays;228;28/10/08 9:30;-20.21;148.905;;25;A1;25.5;36;25;0.23;Absent
Hook Passage;Whitsundays;228;28/10/08 9:30;-20.21;148.905;;25;A2;25.5;36;25;0.27;Absent
Hook Passage;Whitsundays;228;28/10/08 9:30;-20.21;148.905;;25;B1;25.5;36;25;0.28;Absent
Hook Passage;Whitsundays;228;28/10/08 9:30;-20.21;148.905;;25;B2;25.5;36;25;0.28;Absent
Dent Passage;Whitsundays;227;28/10/08 8:45;-20.336;148.939;;25;A1;25.5;36;25;0.33;Absent
Dent Passage;Whitsundays;227;28/10/08 8:45;-20.336;148.939;;25;A2;25.5;36;25;0.36;Absent
Dent Passage;Whitsundays;227;28/10/08 8:45;-20.336;148.939;;25;B1;25.5;36;25;0.3;Absent
Dent Passage;Whitsundays;227;28/10/08 8:45;-20.336;148.939;;25;B2;25.5;36;25;0.36;Absent
Line Reef;Whitsundays;229;24/9/08 10:22;-19.756;149.14;;25;A1;25;37;25;0.16;Absent
Line Reef;Whitsundays;229;24/9/08 10:22;-19.756;149.14;;25;A2;25;37;25;0.3;Absent
Line Reef;Whitsundays;229;24/9/08 10:22;-19.756;149.14;;25;B1;25;37;25;0.21;Absent
Line Reef;Whitsundays;229;24/9/08 10:22;-19.756;149.14;;25;B2;25;37;25;0.24;Absent
Hook Passage;Whitsundays;228;24/9/08 9:25;-20.21;148.905;;25;A1;24;37;25;0.17;Absent
Hook Passage;Whitsundays;228;24/9/08 9:25;-20.21;148.905;;25;A2;24;37;25;0.18;Absent
