STATION_NAME;TRANSECT;STATION_ID;SAMPLE_TIME;LATITUDE;LONGITUDE;SECCHI_DEPTH;ACOUSTIC_DEPTH;REPLICATE_DESC;TEMPERATURE;SALINITY;SAMPLE_DEPTH;CHL_A;TRICHODESMIUM
Line Reef;Whitsundays;229;21/12/07 10:20;-19.756;149.14;;64;A1;28.5;35;64;0.46;Absent
Line Reef;Whitsundays;229;21/12/07 10:20;-19.756;149.14;;64;A2;28.5;35;64;0.48;Absent
Line Reef;Whitsundays;229;21/12/07 10:20;-19.756;149.14;;64;B1;28.5;35;64;0.54;Absent
Line Reef;Whitsundays;229;21/12/07 10:20;-19.756;149.14;;64;B2;28.5;35;64;0.53;Absent
Hook Passage;Whitsundays;228;21/12/07 9:26;-20.21;148.905;;25;A1;29;35;25;0.32;Absent
Hook Passage;Whitsundays;228;21/12/07 9:26;-20.21;148.905;;25;A2;29;35;25;0.35;Absent
Hook Passage;Whitsundays;228;21/12/07 9:26;-20.21;148.905;;25;B1;29;35;25;0.44;Absent
Hook Passage;Whitsundays;228;21/12/07 9:26;-20.21;148.905;;25;B2;29;35;25;0.47;Absent
Dent Passage;Whitsundays;227;21/12/07 9:05;-20.336;148.939;;25;A1;28.5;37;25;0.32;Absent
Dent Passage;Whitsundays;227;21/12/07 9:05;-20.336;148.939;;25;A2;28.5;37;25;0.33;Absent
Dent Passage;Whitsundays;227;21/12/07 9:05;-20.336;148.939;;25;B1;28.5;37;25;0.26;Absent
Dent Passage;Whitsundays;227;21/12/07 9:05;-20.336;148.939;;25;B2;28.5;37;25;0.28;Absent
Line Reef;Whitsundays;229;23/11/07 10:20;-19.756;149.14;;64;A1;26.5;32.5;64;0.32;Absent
Line Reef;Whitsundays;229;23/11/07 10:20;-19.756;149.14;;64;A2;26.5;32.5;64;0.33;Absent
Line Reef;Whitsundays;229;23/11/07 10:20;-19.756;149.14;;64;B1;26.5;32.5;64;0.26;Absent
Line Reef;Whitsundays;229;23/11/07 10:20;-19.756;149.14;;64;B2;26.5;32.5;64;0.28;Absent
Hook Passage;Whitsundays;228;23/11/07 9:35;-20.21;148.905;;25;A1;27;31;25;0.5;Absent
Hook Passage;Whitsundays;228;23/11/07 9:35;-20.21;148.905;;25;A2;27;31;25;0.45;Absent
Hook Passage;Whitsundays;228;23/11/07 9:35;-20.21;148.905;;25;B1;27;31;25;0.42;Absent
Hook Passage;Whitsundays;228;23/11/07 9:35;-20.21;148.905;;25;B2;27;31;25;0.37;Absent
Dent Passage;Whitsundays;227;23/11/07 8:40;-20.336;148.939;;25;A1;26.5;31.5;25;0.38;Absent
Dent Passage;Whitsundays;227;23/11/07 8:40;-20.336;148.939;;25;A2;26.5;31.5;25;0.41;Absent
Dent Passage;Whitsundays;227;23/11/07 8:40;-20.336;148.939;;25;B1;26.5;31.5;25;0.38;Absent
Dent Passage;Whitsundays;227;23/11/07 8:40;-20.336;148.939;;25;B2;26.5;31.5;25;0.43;Absent
Line Reef;Whitsundays;229;26/9/07 10:26;-19.756;149.14;;64;A1;24.5;34.5;64;0.17;Absent
Line Reef;Whitsundays;229;26/9/07 10:26;-19.756;149.14;;64;A2;24.5;34.5;64;0.19;Absent
Line Reef;Whitsundays;229;26/9/07 10:26;-19.756;149.14;;64;B1;24.5;34.5;64;0.17;Absent
Line Reef;Whitsundays;229;26/9/07 10:26;-19.756;149.14;;64;B2;24.5;34.5;64;0.19;Absent
Hook Passage;Whitsundays;228;26/9/07 9:32;-20.21;148.905;;25;A1;24.5;35;25;0.2;Absent
Hook Passage;Whitsundays;228;26/9/07 9:32;-20.21;148.905;;25;A2;24.5;35;25;0.22;Absent
Hook Passage;Whitsundays;228;26/9/07 9:32;-20.21;148.905;;25;B1;24.5;35;25;0.2;Absent
Hook Passage;Whitsundays;228;26/9/07 9:32;-20.21;148.905;;25;B2;24.5;35;25;0.18;Absent
Dent Passage;Whitsundays;227;26/9/07 8:45;-20.336;148.939;;25;A1;24;36;25;0.31;Absent
Dent Passage;Whitsundays;227;26/9/07 8:45;-20.336;148.939;;25;A2;24;36;25;0.29;Absent
Dent Passage;Whitsundays;227;26/9/07 8:45;-20.336;148.939;;25;B1;24;36;25;0.32;Absent
Dent Passage;Whitsundays;227;26/9/07 8:45;-20.336;148.939;;25;B2;24;36;25;0.31;Absent
Hook Passage;Whitsundays;228;22/8/07 9:34;-20.21;148.905;;25;A1;22;36.5;25;0.16;Absent
Hook Passage;Whitsundays;228;22/8/07 9:34;-20.21;148.905;;25;A2;22;36.5;25;0.16;Absent
Hook Passage;Whitsundays;228;22/8/07 9:34;-20.21;148.905;;25;B1;22;36.5;25;0.15;Absent
Hook Passage;Whitsundays;228;22/8/07 9:34;-20.21;148.905;;25;B2;22;36.5;25;0.15;Absent
Line Reef;Whitsundays;229;22/8/07 9:34;-19.756;149.14;;64;A1;23;37;64;0.16;Absent
Line Reef;Whitsundays;229;22/8/07 9:34;-19.756;149.14;;64;A2;23;37;64;0.12;Absent
Line Reef;Whitsundays;229;22/8/07 9:34;-19.756;149.14;;64;B1;23;37;64;0.12;Absent
Line Reef;Whitsundays;229;22/8/07 9:34;-19.756;149.14;;64;B2;23;37;64;0.1;Absent
Dent Passage;Whitsundays;227;22/8/07 8:40;-20.336;148.939;;25;A1;21;37;25;0.13;Absent
Dent Passage;Whitsundays;227;22/8/07 8:40;-20.336;148.939;;25;A2;21;37;25;0.14;Absent
Dent Passage;Whitsundays;227;22/8/07 8:40;-20.336;148.939;;25;B1;21;37;25;0.13;Absent
Dent Passage;Whitsundays;227;22/8/07 8:40;-20.336;148.939;;25;B2;21;37;25;0.14;Absent
Line Reef;Whitsundays;229;6/7/07 10:20;-19.756;149.14;;;A1;23;37;;0.29;Absent
Line Reef;Whitsundays;229;6/7/07 10:20;-19.756;149.14;;;A2;23;37;;0.25;Absent
Line Reef;Whitsundays;229;6/7/07 10:20;-19.756;149.14;;;B1;23;37;;0.39;Absent
Line Reef;Whitsundays;229;6/7/07 10:20;-19.756;149.14;;;B2;23;37;;0.4;Absent
Hook Passage;Whitsundays;228;6/7/07 9:25;-20.21;148.905;;2.5;A1;22.5;37;2.5;0.23;Absent
Hook Passage;Whitsundays;228;6/7/07 9:25;-20.21;148.905;;2.5;A2;22.5;37;2.5;0.21;Absent
Hook Passage;Whitsundays;228;6/7/07 9:25;-20.21;148.905;;2.5;B1;22.5;37;2.5;0.2;Absent
